Team,Avg_Points,Title_Prob_%,Relegation_Prob_%
Arsenal,83.2,96.2,0.0
Man City,75.2,3.8,0.0
Man United,66.0,0.0,0.0
Aston Villa,64.7,0.0,0.0
Liverpool,60.2,0.0,0.0
Chelsea,58.7,0.0,0.0
Brentford,55.4,0.0,0.0
Everton,55.3,0.0,0.0
Brighton,53.7,0.0,0.0
Sunderland,52.5,0.0,0.0
Fulham,52.3,0.0,0.0
Newcastle,52.1,0.0,0.0
Bournemouth,50.8,0.0,0.0
Crystal Palace,48.5,0.0,0.0
Leeds,42.1,0.0,6.0
Nott'm Forest,40.7,0.0,10.4
Tottenham,37.4,0.0,36.8
West Ham,37.1,0.0,47.0
Burnley,26.2,0.0,100.0
Wolves,24.8,0.0,99.8
